method,round,labels,avg_acc,acc_tuple,top_k
passive_ordered,37,565,0.6232166018158236,"[0.6284046692607004, 0.6167315175097277, 0.6245136186770428]",2
passive_ordered,38,575,0.6167315175097277,"[0.6147859922178989, 0.6128404669260701, 0.622568093385214]",2
passive_ordered,39,585,0.6465629053177692,"[0.6517509727626459, 0.6439688715953308, 0.6439688715953308]",2
passive_ordered,40,595,0.6394293125810635,"[0.6400778210116731, 0.6245136186770428, 0.6536964980544747]",2
passive_ordered,41,605,0.6517509727626459,"[0.6595330739299611, 0.6478599221789884, 0.6478599221789884]",2
passive_ordered,42,615,0.6549935149156938,"[0.6614785992217899, 0.6361867704280155, 0.6673151750972762]",2
passive_ordered,43,625,0.6549935149156939,"[0.669260700389105, 0.6517509727626459, 0.6439688715953308]",2
passive_ordered,44,635,0.6783398184176394,"[0.6926070038910506, 0.6731517509727627, 0.669260700389105]",2
passive_ordered,45,645,0.6666666666666666,"[0.6673151750972762, 0.6614785992217899, 0.6712062256809338]",2
passive_ordered,46,655,0.6854734111543449,"[0.6731517509727627, 0.708171206225681, 0.6750972762645915]",2
passive_ordered,47,665,0.6971465629053176,"[0.6984435797665369, 0.6926070038910506, 0.7003891050583657]",2
passive_ordered,48,675,0.6913099870298313,"[0.6867704280155642, 0.6867704280155642, 0.7003891050583657]",2
passive_ordered,49,685,0.696498054474708,"[0.7042801556420234, 0.6926070038910506, 0.6926070038910506]",2
passive_ordered,50,695,0.699740596627756,"[0.7003891050583657, 0.7003891050583657, 0.6984435797665369]",2
passive_ordered,51,705,0.7055771725032426,"[0.7140077821011673, 0.7062256809338522, 0.6964980544747081]",2
passive_ordered,52,715,0.711413748378729,"[0.7101167315175098, 0.7062256809338522, 0.7178988326848249]",2
passive_ordered,53,725,0.7140077821011673,"[0.7198443579766537, 0.7023346303501945, 0.7198443579766537]",2
passive_ordered,54,735,0.7107652399481194,"[0.7042801556420234, 0.7062256809338522, 0.7217898832684825]",2
passive_ordered,55,745,0.7159533073929961,"[0.7140077821011673, 0.72568093385214, 0.708171206225681]",2
passive_ordered,56,755,0.7166018158236057,"[0.72568093385214, 0.7159533073929961, 0.708171206225681]",2
passive_ordered,57,765,0.7237354085603113,"[0.7276264591439688, 0.72568093385214, 0.7178988326848249]",2
passive_ordered,58,775,0.7243839169909209,"[0.72568093385214, 0.7217898832684825, 0.72568093385214]",2
passive_ordered,59,785,0.7503242542153048,"[0.7684824902723736, 0.7529182879377432, 0.7295719844357976]",2
passive_ordered,60,795,0.751621271076524,"[0.7490272373540856, 0.7490272373540856, 0.7568093385214008]",2
