method,round,labels,accuracy
passive_random,97,1089,0.7003891050583657
passive_random,98,1099,0.7198443579766537
passive_random,99,1109,0.7042801556420234
passive_random,100,1119,0.7159533073929961
passive_ordered,1,129,0.4280155642023346
passive_ordered,2,139,0.40077821011673154
passive_ordered,3,149,0.47470817120622566
passive_ordered,4,159,0.47470817120622566
passive_ordered,5,169,0.47470817120622566
passive_ordered,6,179,0.490272373540856
passive_ordered,7,189,0.48638132295719844
passive_ordered,8,199,0.5058365758754864
passive_ordered,9,209,0.49416342412451364
passive_ordered,10,219,0.5214007782101168
passive_ordered,11,229,0.5058365758754864
passive_ordered,12,239,0.5214007782101168
passive_ordered,13,249,0.5214007782101168
passive_ordered,14,259,0.5097276264591439
passive_ordered,15,269,0.5214007782101168
passive_ordered,16,279,0.5291828793774319
passive_ordered,17,289,0.5408560311284046
passive_ordered,18,299,0.5447470817120622
passive_ordered,19,309,0.5486381322957199
passive_ordered,20,319,0.5486381322957199
passive_ordered,21,329,0.5486381322957199
passive_ordered,22,339,0.5291828793774319
passive_ordered,23,349,0.5603112840466926
passive_ordered,24,359,0.5680933852140078
passive_ordered,25,369,0.5836575875486382
passive_ordered,26,379,0.603112840466926
passive_ordered,27,389,0.5719844357976653
passive_ordered,28,399,0.5603112840466926
passive_ordered,29,409,0.5953307392996109
passive_ordered,30,419,0.5953307392996109
passive_ordered,31,429,0.603112840466926
passive_ordered,32,439,0.5992217898832685
passive_ordered,33,449,0.5953307392996109
passive_ordered,34,459,0.603112840466926
passive_ordered,35,469,0.603112840466926
passive_ordered,36,479,0.6186770428015564
passive_ordered,37,489,0.622568093385214
passive_ordered,38,499,0.5953307392996109
passive_ordered,39,509,0.6186770428015564
passive_ordered,40,519,0.6108949416342413
passive_ordered,41,529,0.6264591439688716
passive_ordered,42,539,0.6264591439688716
passive_ordered,43,549,0.6381322957198443
passive_ordered,44,559,0.6108949416342413
passive_ordered,45,569,0.6459143968871596
passive_ordered,46,579,0.622568093385214
passive_ordered,47,589,0.642023346303502
passive_ordered,48,599,0.622568093385214
passive_ordered,49,609,0.6381322957198443
passive_ordered,50,619,0.6459143968871596
passive_ordered,51,629,0.6575875486381323
passive_ordered,52,639,0.6459143968871596
passive_ordered,53,649,0.6809338521400778
passive_ordered,54,659,0.6575875486381323
passive_ordered,55,669,0.6575875486381323
passive_ordered,56,679,0.6575875486381323
passive_ordered,57,689,0.6303501945525292
passive_ordered,58,699,0.6575875486381323
passive_ordered,59,709,0.6575875486381323
passive_ordered,60,719,0.6614785992217899
passive_ordered,61,729,0.6848249027237354
passive_ordered,62,739,0.6731517509727627
passive_ordered,63,749,0.6848249027237354
passive_ordered,64,759,0.688715953307393
passive_ordered,65,769,0.6731517509727627
