method,round,labels,pool_size,pct,avg_acc_top1,avg_acc_topk,acc_tuple_top1,acc_tuple_topk,top_k
passive_random,49,369,2055,17.956204379562045,0.5946822308690013,0.7107652399481194,"[0.6011673151750972, 0.5875486381322957, 0.5953307392996109]","[0.708171206225681, 0.7159533073929961, 0.708171206225681]",3
passive_random,50,374,2055,18.199513381995136,0.5998702983138781,0.711413748378729,"[0.603112840466926, 0.5894941634241245, 0.6070038910505836]","[0.708171206225681, 0.7198443579766537, 0.7062256809338522]",3
passive_random,51,379,2055,18.442822384428222,0.5992217898832685,0.7133592736705577,"[0.6050583657587548, 0.5953307392996109, 0.5972762645914397]","[0.7140077821011673, 0.7159533073929961, 0.7101167315175098]",3
passive_random,52,384,2055,18.686131386861312,0.6011673151750972,0.7153047989623865,"[0.603112840466926, 0.5933852140077821, 0.6070038910505836]","[0.7101167315175098, 0.7237354085603113, 0.7120622568093385]",3
passive_random,53,389,2055,18.929440389294403,0.6024643320363164,0.7172503242542153,"[0.6011673151750972, 0.6050583657587548, 0.6011673151750972]","[0.7062256809338522, 0.72568093385214, 0.7198443579766537]",3
passive_random,54,394,2055,19.172749391727493,0.5979247730220493,0.7159533073929961,"[0.5953307392996109, 0.603112840466926, 0.5953307392996109]","[0.7140077821011673, 0.7237354085603113, 0.7101167315175098]",3
passive_random,55,399,2055,19.416058394160583,0.5966277561608301,0.7198443579766537,"[0.5953307392996109, 0.5972762645914397, 0.5972762645914397]","[0.7159533073929961, 0.7276264591439688, 0.7159533073929961]",3
passive_random,56,404,2055,19.659367396593673,0.6011673151750972,0.7224383916990921,"[0.6089494163424124, 0.6011673151750972, 0.5933852140077821]","[0.7178988326848249, 0.7295719844357976, 0.7198443579766537]",3
passive_random,57,409,2055,19.902676399026763,0.6102464332036317,0.7211413748378729,"[0.6070038910505836, 0.6108949416342413, 0.6128404669260701]","[0.7140077821011673, 0.72568093385214, 0.7237354085603113]",3
passive_random,58,414,2055,20.145985401459853,0.6147859922178989,0.7276264591439688,"[0.6089494163424124, 0.6167315175097277, 0.6186770428015564]","[0.72568093385214, 0.7315175097276264, 0.72568093385214]",3
passive_random,59,419,2055,20.389294403892944,0.6108949416342413,0.728923476005188,"[0.6089494163424124, 0.6167315175097277, 0.6070038910505836]","[0.7276264591439688, 0.7315175097276264, 0.7276264591439688]",3
passive_random,60,424,2055,20.632603406326034,0.6076523994811933,0.7276264591439688,"[0.6128404669260701, 0.6128404669260701, 0.5972762645914397]","[0.72568093385214, 0.7334630350194552, 0.7237354085603113]",3
passive_random,61,429,2055,20.875912408759124,0.6186770428015564,0.7347600518806745,"[0.6186770428015564, 0.6128404669260701, 0.6245136186770428]","[0.7295719844357976, 0.7392996108949417, 0.7354085603112841]",3
passive_random,62,434,2055,21.119221411192214,0.619325551232166,0.7315175097276265,"[0.6128404669260701, 0.6284046692607004, 0.6167315175097277]","[0.7217898832684825, 0.7354085603112841, 0.7373540856031129]",3
passive_random,63,439,2055,21.362530413625304,0.6206225680933852,0.7334630350194553,"[0.6186770428015564, 0.6264591439688716, 0.6167315175097277]","[0.72568093385214, 0.7470817120622568, 0.7276264591439688]",3
passive_random,64,444,2055,21.605839416058394,0.6199740596627756,0.7367055771725033,"[0.6186770428015564, 0.6167315175097277, 0.6245136186770428]","[0.7295719844357976, 0.745136186770428, 0.7354085603112841]",3
passive_random,65,449,2055,21.849148418491485,0.6186770428015564,0.7405966277561609,"[0.6167315175097277, 0.6245136186770428, 0.6147859922178989]","[0.7373540856031129, 0.7470817120622568, 0.7373540856031129]",3
passive_random,66,454,2055,22.092457420924575,0.6186770428015564,0.74189364461738,"[0.6147859922178989, 0.6206225680933852, 0.6206225680933852]","[0.7373540856031129, 0.754863813229572, 0.7334630350194552]",3
passive_random,67,459,2055,22.335766423357665,0.6206225680933852,0.7405966277561609,"[0.6167315175097277, 0.6186770428015564, 0.6264591439688716]","[0.7354085603112841, 0.7470817120622568, 0.7392996108949417]",3
passive_random,68,464,2055,22.579075425790755,0.6206225680933852,0.7477302204928664,"[0.622568093385214, 0.6186770428015564, 0.6206225680933852]","[0.7392996108949417, 0.7529182879377432, 0.7509727626459144]",3
passive_random,69,469,2055,22.822384428223845,0.6232166018158236,0.745136186770428,"[0.6089494163424124, 0.6361867704280155, 0.6245136186770428]","[0.7373540856031129, 0.745136186770428, 0.7529182879377432]",3
passive_random,70,474,2055,23.065693430656935,0.6232166018158236,0.7425421530479897,"[0.6245136186770428, 0.6206225680933852, 0.6245136186770428]","[0.7373540856031129, 0.7490272373540856, 0.7412451361867705]",3
passive_random,71,479,2055,23.309002433090026,0.6219195849546044,0.7470817120622568,"[0.6264591439688716, 0.6245136186770428, 0.6147859922178989]","[0.745136186770428, 0.7529182879377432, 0.7431906614785992]",3
passive_random,72,484,2055,23.552311435523116,0.6264591439688716,0.7425421530479897,"[0.6245136186770428, 0.6264591439688716, 0.6284046692607004]","[0.7373540856031129, 0.754863813229572, 0.7354085603112841]",3
passive_random,73,489,2055,23.795620437956206,0.622568093385214,0.7470817120622568,"[0.632295719844358, 0.622568093385214, 0.6128404669260701]","[0.7470817120622568, 0.7529182879377432, 0.7412451361867705]",3
passive_random,74,494,2055,24.038929440389296,0.6342412451361867,0.7496757457846952,"[0.6264591439688716, 0.6381322957198443, 0.6381322957198443]","[0.7392996108949417, 0.7568093385214008, 0.7529182879377432]",3
passive_random,75,499,2055,24.282238442822383,0.6335927367055771,0.7529182879377432,"[0.6342412451361867, 0.6381322957198443, 0.6284046692607004]","[0.7490272373540856, 0.7587548638132295, 0.7509727626459144]",3
passive_random,76,504,2055,24.525547445255473,0.6374837872892347,0.751621271076524,"[0.6361867704280155, 0.6361867704280155, 0.6400778210116731]","[0.7470817120622568, 0.7587548638132295, 0.7490272373540856]",3
passive_random,77,509,2055,24.768856447688563,0.6374837872892347,0.7529182879377432,"[0.6381322957198443, 0.6361867704280155, 0.6381322957198443]","[0.7509727626459144, 0.754863813229572, 0.7529182879377432]",3
