method,round,labels,pool_size,pct,avg_acc_top1,avg_acc_topk,acc_tuple_top1,acc_tuple_topk,top_k,added_labels
active_random,68,659,2183,30.187814933577645,0.6770293609671848,0.8221070811744386,"[0.6735751295336787, 0.6865284974093264, 0.6709844559585493]","[0.8186528497409327, 0.8238341968911918, 0.8238341968911918]",3,"[82, 125, 231, 32, 173, 162]"
active_random,69,665,2183,30.462666055886395,0.6822107081174439,0.8246977547495682,"[0.6761658031088082, 0.6994818652849741, 0.6709844559585493]","[0.8264248704663213, 0.8238341968911918, 0.8238341968911918]",3,"[25, 160, 89, 182, 17, 45]"
active_random,70,671,2183,30.737517178195144,0.6865284974093265,0.8229706390328152,"[0.6839378238341969, 0.6994818652849741, 0.6761658031088082]","[0.810880829015544, 0.8341968911917098, 0.8238341968911918]",3,"[233, 181, 207, 77, 5, 231]"
active_random,71,677,2183,31.012368300503894,0.6822107081174439,0.8229706390328152,"[0.6839378238341969, 0.6917098445595855, 0.6709844559585493]","[0.8238341968911918, 0.8290155440414507, 0.8160621761658031]",3,"[219, 249, 1, 86, 51, 160]"
active_random,72,683,2183,31.287219422812644,0.6891191709844561,0.8238341968911916,"[0.6839378238341969, 0.6968911917098446, 0.6865284974093264]","[0.8238341968911918, 0.8212435233160622, 0.8264248704663213]",3,"[212, 90, 5, 213, 160, 113]"
active_random,73,689,2183,31.562070545121394,0.6882556131260795,0.8272884283246977,"[0.694300518134715, 0.689119170984456, 0.6813471502590673]","[0.8238341968911918, 0.8264248704663213, 0.8316062176165803]",3,"[180, 63, 179, 202, 124, 87]"
active_random,74,695,2183,31.836921667430143,0.6891191709844561,0.8221070811744386,"[0.6865284974093264, 0.6968911917098446, 0.6839378238341969]","[0.8238341968911918, 0.8212435233160622, 0.8212435233160622]",3,"[51, 109, 3, 130, 192, 11]"
active_random,75,701,2183,32.11177278973889,0.6925734024179621,0.8229706390328152,"[0.6865284974093264, 0.6994818652849741, 0.6917098445595855]","[0.8264248704663213, 0.8264248704663213, 0.8160621761658031]",3,"[212, 15, 90, 160, 248, 45]"
active_random,76,707,2183,32.38662391204764,0.6899827288428325,0.8229706390328152,"[0.694300518134715, 0.6994818652849741, 0.6761658031088082]","[0.8238341968911918, 0.8186528497409327, 0.8264248704663213]",3,"[125, 210, 124, 120, 202, 90]"
active_random,77,713,2183,32.66147503435639,0.6908462867012091,0.8238341968911916,"[0.689119170984456, 0.6994818652849741, 0.6839378238341969]","[0.8238341968911918, 0.8290155440414507, 0.8186528497409327]",3,"[191, 225, 93, 201, 182, 203]"
active_random,78,719,2183,32.93632615666514,0.6917098445595856,0.8238341968911916,"[0.7020725388601037, 0.6968911917098446, 0.6761658031088082]","[0.8212435233160622, 0.8264248704663213, 0.8238341968911918]",3,"[30, 5, 208, 5, 248, 110]"
active_random,79,725,2183,33.21117727897389,0.6917098445595856,0.8246977547495682,"[0.689119170984456, 0.7046632124352331, 0.6813471502590673]","[0.8264248704663213, 0.8186528497409327, 0.8290155440414507]",3,"[11, 231, 226, 90, 207, 186]"
active_random,80,731,2183,33.48602840128264,0.6951640759930916,0.8229706390328152,"[0.6994818652849741, 0.6994818652849741, 0.6865284974093264]","[0.8186528497409327, 0.8238341968911918, 0.8264248704663213]",3,"[25, 154, 212, 236, 245, 34]"
active_random,81,737,2183,33.760879523591385,0.6968911917098447,0.8264248704663212,"[0.7020725388601037, 0.7020725388601037, 0.6865284974093264]","[0.8290155440414507, 0.8238341968911918, 0.8264248704663213]",3,"[61, 2, 233, 5, 71, 125]"
active_random,82,743,2183,34.03573064590014,0.6986183074265977,0.8246977547495682,"[0.6994818652849741, 0.7124352331606217, 0.6839378238341969]","[0.8264248704663213, 0.8264248704663213, 0.8212435233160622]",3,"[20, 65, 172, 202, 129, 212]"
active_random,83,749,2183,34.310581768208884,0.7029360967184802,0.8367875647668394,"[0.6994818652849741, 0.7098445595854922, 0.6994818652849741]","[0.8341968911917098, 0.8393782383419689, 0.8367875647668394]",3,"[5, 146, 222, 194, 231, 15]"
active_random,84,755,2183,34.58543289051764,0.7046632124352331,0.8393782383419689,"[0.7046632124352331, 0.7124352331606217, 0.6968911917098446]","[0.8419689119170984, 0.844559585492228, 0.8316062176165803]",3,"[187, 75, 248, 211, 249, 61]"
active_random,85,761,2183,34.860284012826384,0.7089810017271158,0.8402417962003454,"[0.7098445595854922, 0.7150259067357513, 0.7020725388601037]","[0.8290155440414507, 0.844559585492228, 0.8471502590673575]",3,"[118, 5, 102, 90, 176, 111]"
active_random,86,767,2183,35.13513513513514,0.7081174438687392,0.8419689119170984,"[0.7072538860103627, 0.7150259067357513, 0.7020725388601037]","[0.8367875647668394, 0.8497409326424871, 0.8393782383419689]",3,"[178, 249, 225, 154, 212, 142]"
active_random,87,773,2183,35.40998625744388,0.7193436960276339,0.8393782383419689,"[0.7202072538860104, 0.7331606217616581, 0.7046632124352331]","[0.8316062176165803, 0.844559585492228, 0.8419689119170984]",3,"[146, 231, 41, 179, 178, 245]"
active_random,88,779,2183,35.684837379752636,0.7158894645941278,0.844559585492228,"[0.7176165803108808, 0.7227979274611399, 0.7072538860103627]","[0.8471502590673575, 0.8419689119170984, 0.844559585492228]",3,"[5, 61, 249, 179, 160, 233]"
active_random,89,785,2183,35.95968850206138,0.7132987910189983,0.8376511226252159,"[0.7150259067357513, 0.7202072538860104, 0.7046632124352331]","[0.8393782383419689, 0.8393782383419689, 0.8341968911917098]",3,"[146, 3, 51, 234, 28, 181]"
active_random,90,791,2183,36.234539624370136,0.7167530224525044,0.841105354058722,"[0.7098445595854922, 0.7253886010362695, 0.7150259067357513]","[0.844559585492228, 0.844559585492228, 0.8341968911917098]",3,"[146, 245, 46, 51, 3, 120]"
active_random,91,797,2183,36.50939074667888,0.7132987910189983,0.8385146804835925,"[0.7098445595854922, 0.7202072538860104, 0.7098445595854922]","[0.8393782383419689, 0.8341968911917098, 0.8419689119170984]",3,"[5, 51, 246, 61, 86, 231]"
active_random,92,803,2183,36.78424186898763,0.7141623488773748,0.8385146804835925,"[0.7176165803108808, 0.7072538860103627, 0.7176165803108808]","[0.8393782383419689, 0.844559585492228, 0.8316062176165803]",3,"[61, 154, 228, 25, 94, 93]"
active_random,93,809,2183,37.05909299129638,0.7158894645941278,0.8376511226252159,"[0.7176165803108808, 0.7150259067357513, 0.7150259067357513]","[0.8393782383419689, 0.8367875647668394, 0.8367875647668394]",3,"[124, 176, 187, 205, 5, 240]"
